PubMed ID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39306923,Five-year survival in patients with extensive-stage small cell lung cancer treated with atezolizumab in the Phase III IMpower133 study and the Phase III IMbrella A extension study.,2024-01-01,Gerstner G; Morris S; Kaul M; Cuchelkar V; Danner BJ; Nabet BY,"Computational Sciences, Genentech, South San Francisco, CA, USA.; F. Hoffmann-La Roche Ltd, Basel, Switzerland.; Genentech, South San Francisco, CA, USA.; Illinois Cancer Care, Peoria, IL, USA.; Oncology Product Development Safety, Genentech Inc, South San Francisco, CA, USA.; Product Development Oncology-Hematology, Genentech, South San Francisco, CA, USA.","Lung Clinic Grosshansdorf, Airway Research Center North, German Center of Lung Research, Grosshansdorf, Germany. Electronic address: m.reck@lungenclinic.de."
39306350,Do tobacco regulatory and economic factors influence smoking cessation outcomes? A post-hoc analysis of the multinational EAGLES randomised controlled trial.,2024-09-20,McKenna BS; Evins AE; Anthenelli RM,"Global Biometrics and Data Management, Pfizer Inc, New York, New York, USA.; Global Product Development, Pfizer Inc, New York, New York, USA.; Internal Medicine, Pfizer Inc, New York, New York, USA.",Not available
39306343,Comparative early effectiveness across 14 PsA drugs and 5 classes of PsA treatment: 3-month results from the PRO-SPIRIT study.,2024-09-20,Ng KJ; Ngantcha M; Chandran V; Kennedy D; Holzkamper T; Gullick N; de la Torre I; McGonagle DG,"Eli Lilly and Company, Indianapolis, Indiana, USA.; Internal Medicine II, Rheumatology, Schlosspark-Klinik GmbH, Berlin, Germany.",Not available
39306036,"Visualisation and quantification of subcutaneous injections of different volumes, viscosities and injection rates: An ex-vivo micro-CT study.",2024-01-01,Willekens W; Fehervary H,"Biomechanics Section, Mechanical Engineering Department, KU Leuven, Leuven, Belgium.; FIBER, KU Leuven Core Facility for Biomechanical Experimentation, Leuven, Belgium; FIBER, KU Leuven Core Facility for Biomechanical Experimentation, Leuven, Belgium.","Crux Product Design, Bristol, UK. Electronic address: joel.gresham@cruxproductdesign.com."
39305737,Standardized emergency protocols to improve the management of patients with suspected or confirmed inherited metabolic disorders (IMDs): An initiative of the French IMDs Healthcare Network for Rare Diseases.,2024-01-01,Schiff M; Benoist JF; Oualha M,"Centre de reference des maladies hereditaires du metabolisme, Hopital Universitaire Necker-Enfants Malades, Assistance Publique-Hopitaux de Paris (AP-HP), Institut Imagine, Universite Paris Cite, 75015 Paris, France; Filiere nationale de sante maladies rares G2M-Maladies Hereditaires du Metabolisme, France; INSERM UMR1163, Institut Imagine, Paris, France.; Laboratoire de biochimie metabolique, Hopital Universitaire Necker-Enfants Malades, Assistance Publique-Hopitaux de Paris (AP-HP), Universite Paris-Saclay, Paris, France.; MetabERN: European Reference Network for Rare Hereditary Metabolic Disorders, France; Service de reanimation et surveillance continue medico-chirurgicales pediatriques, Hopital Universitaire Necker-Enfants Malades, Assistance Publique-Hopitaux de Paris (AP-HP), Universite Paris Cite, 75015 Paris, France.",Not available
39305432,What's New After NICE Acne Guidelines.,2024-01-01,Gupta G,"Edinburgh Royal Infirmary, Edinburgh, Scotland, UK.","Skin Research Centre, University of York, Heslington Road, York, YO10 5DD, UK. alison.layton1@nhs.net."
39305190,"Relevance, Risks, and Benefits of Early-Phases Clinical Trials Participations for Patients With Hematological Malignancies From 2008 to 2023.",2025-01-01,Guerra M; Alouani E; Hueso T; Ouali K; Hollebecque A; Bahleda R; Gazzah A; Baldini C; Postel-Vinay S; De Botton S; Ribrag V,"Departement des Innovations Therapeutiques et des Essais Precoces (DITEP), Gustave Roussy, Villejuif, France.; Universite Paris-Saclay, Villejuif, France.",Not available
39305160,Persistent growth-promoting effects of vosoritide in children with achondroplasia are accompanied by improvements in physical and social aspects of health-related quality of life.,2024-01-01,Mohnike K; Leiva-Gea A; Rowell R,"BioMarin Pharmaceutical Inc., Novato, CA.; Hospital Universitario Virgen de la Victoria, Malaga, Spain.; Instituto de Investigacion Biomedica de Malaga-Plataforma Bionand, Malaga, Andalucia, Spain; Otto-von-Guericke Universitat, Universitatskinderklinik, Magdeburg, Germany.","Murdoch Children's Research Institute, Royal Children's Hospital Victoria, University of Melbourne, Parkville, Victoria, Australia. Electronic address: ravi.savarirayan@mcri.edu.au."
39305107,Imatinib dose reduction after major molecular response in chronic-phase chronic myeloid leukemia.,2025-01-01,Guo Y; Qin Y,"TargetingOne Corporation, Beijing, China.",Not available
39304546,Management of complications in patients with an ileostomy: an umbrella review of systematic reviews for the EndOTrial Consortium.,2024-09-21,Vuyyuru SK; Singh S; Van Koughnett JA,"Alimentiv Inc, London, ON, Canada.; Division of Gastroenterology and Gastrointestinal Endoscopy, IRCCS Ospedale San Raffaele, Universita Vita-Salute San Raffaele, Milan, Italy.",Not available
39304061,"HDAC5 controls a hypothalamic STAT5b-TH axis, the sympathetic activation of ATP-consuming futile cycles and adult-onset obesity in male mice.",2024-01-01,Gutierrez-Aguilar R; Mellor J,"Chronos Therapeutics, Oxford, UK.; Department of Biochemistry, University of Oxford, Oxford, UK; Division de Investigacion, Facultad de Medicina, Universidad Nacional Autonoma de Mexico, Mexico City, Mexico; Laboratorio de Investigacion en Enfermedades Metabolicas, Obesidad y Diabetes, Hospital Infantil de Mexico Federico Gomez, Mexico City, Mexico.",Not available
39303668,Post-surgery sequelae unrelated to disease progression and chemotherapy revealed in follow-up of patients with stage III colon cancer.,2024-01-01,Macagno M; Quara V; Mellano A; Borghi F; Corti G; Marchio C; Sapino A; Bartolini A; Fenocchio E; Di Nicolantonio F,"Department of Medical Sciences, University of Torino, Turin, Italy.; Department of Oncology, University of Torino, Turin, Italy.; Istituto di Candiolo - Fondazione del Piemonte per l'Oncologia - IRCCS, Candiolo, Torino, Italy; Istituto di Candiolo - Fondazione del Piemonte per l'Oncologia - IRCCS, Candiolo, Torino, Italy.",Not available
39303400,Patient-reported outcomes in CodeBreaK 200: Sotorasib versus docetaxel for previously treated advanced NSCLC with KRAS G12C mutation.,2024-01-01,Giannopoulou C; Stollenwerk B; Obiozor CC; Wang Y,"Amgen (Europe) GmbH, Rotkreuz, Switzerland.; Amgen Inc., Thousand Oaks, CA, USA.","Oncology Hematology Care (OHC)/SCRI Research, Cincinnati, OH, USA. Electronic address: david.waterhouse1@usoncology.com."
39301474,Improvement in diagnostic-therapeutic care pathways for women with migraine: an Italian Delphi panel.,2024-01-01,Benedan L; Bauleo S; Brusa P; Marozio L; Sangermani R,"Fondazione Onda, Osservatorio nazionale sulla salute della donna e di genere ETS, Milan, Italy.; Medicina Generale, Casa della Salute di Zola Predosa, AUSL, Bologna, Italy.; SC Neurologia PO Levante, Ospedale San Paolo, ASL 2 Savonese, Savona, Italy.; SC Oncologia, ASST Santi Paolo e Carlo, Milan, Italy.; Universita Lumsa Roma, Rome, Italy.",Not available
39301469,Psoriasis and Psoriatic Arthritis Clinics Multicenter Advancement Network Consortium (PPACMAN) 2021 Annual Meeting Proceedings.,2023-01-01,Webster D,"Sage Bionetworks, Seattle, WA, USA.",Not available
39301213,"Analyzing the Benefits and Costs of the Safe Step Act on Patients, Physicians, and Insurers.",2024-01-01,Greene E,"Amwins Rx, North Kingstown, RI, USA.",Not available
39300641,Clinical symptoms and psychosocial functioning in patients with schizophrenia spectrum disorders testing seropositive for anti-NMDAR antibodies: a case-control comparison with patients testing negative.,2024-01-01,Fleischhacker WW,"Division of Psychiatry I, Department of Psychiatry, Psychotherapy, Psychosomatics and Medical Psychology, Medical University of Innsbruck, Innsbruck, Austria; Weill Cornell Medicine, New York, NY, USA.","Department of Psychiatry and Neuropsychology, School for Mental Health and Neuroscience, Maastricht University Medical Center, Maastricht, Netherlands. Electronic address: j.j.luykx@amsterdamumc.nl."
39297964,Exploring the reliability and validity of clinically-relevant outcome measures for chemotherapy-induced peripheral neuropathy.,2024-09-19,Shah D,"Delaware/Christiana Care NCORP, Newark, DE, 19713, USA.","University of Michigan School of Nursing, 400 North Ingalls St, Office 2350, Ann Arbor, MI, 48109, USA. rjknoerl@med.umich.edu."
39303200,"Adjuvant Nivolumab for Localized Renal Cell Carcinoma at High Risk of Recurrence After Nephrectomy: Part B of the Randomized, Placebo-Controlled, Phase III CheckMate 914 Trial.",2025-01-10,Gross-Goupil M; Nair SG; Spiridigliozzi J; Lee CW; van Kooten Losio M; Grunwald V,"BC Cancer, Vancouver, BC, Canada.; Bradford Hill, Santiago, Chile.; Bristol Myers Squibb, Princeton, NJ.",Not available
39302692,"Relationship between activity and sleep, as measured through a wearable accelerometer, and appropriate cardioverter defibrillator interventions: a prospective SafeHeart substudy.",2024-10-03,Langford J,"Activinsights Ltd., Kimbolton, UK.",Not available
39302614,Preliminary results from ASCENT-J02: a phase 1/2 study of sacituzumab govitecan in Japanese patients with advanced solid tumors.,2024-01-01,Lai C; Zhang D; Gary D; Huynh D,"Gilead Sciences, Inc., Foster City, CA, USA.","Department of General Internal Medicine, National Cancer Center Hospital East, 6-5-1 Kashiwanoha, Kashiwa, Chiba, 277-8577, Japan. ynaito@east.ncc.go.jp."
39302603,The Epidemiology of Biliary Tract Cancer and Associated Prevalence of MDM2 Amplification: A Targeted Literature Review.,2024-01-01,Vilu HL; Knight JF; Ueno M,"Boehringer Ingelheim Pharmaceuticals, Inc., Ridgefield, CT, USA.; Evidera Ltd, London, UK.","Division of Hematology, Medical Oncology and Palliative Care, Department of Medicine, University of Wisconsin School of Medicine and Public Health, University of Wisconsin, Madison, WI, USA. jdkratz@medicine.wisc.edu."
39300596,"Efficacy and Safety of Intravenous Secukinumab for the Treatment of Active Psoriatic Arthritis: Results From a Randomized, Placebo-Controlled Phase 3 Study.",2024-09-19,Whelan S; Dumortier T; Zhu X; Martin R; Pricop L,"Novartis Ireland Ltd, Dublin, Ireland.; Novartis Pharma AG, Basel, Switzerland.; Novartis Pharmaceuticals Corporation, East Hanover, New Jersey.",Not available
39300513,"Efficacy and Safety of Intravenous Secukinumab in Patients With Active Axial Spondyloarthritis: Results From a Randomized, Placebo-Controlled, Phase 3 Study.",2024-09-19,Kapur K; Rohrer S; Richards HB,"Novartis Pharma AG, Basel, Switzerland.",Not available
39300150,Label-free ghost cytometry for manufacturing of cell therapy products.,2024-09-19,Takahashi S; Yamaguchi H,"Astellas Pharma, Inc., 5-2-3 Tokodai, Tsukuba-shi, Ibaraki, 300-2698, Japan.",Not available
39300090,Sequential immunization with chimeric hemagglutinin DeltaNS1 attenuated influenza vaccines induces broad humoral and cellular immunity.,2024-09-16,Jangra S; Gertje HP; Tseng AE,"CSL Seqirus, 225 Wyman Street, Waltham, MA, 02451, USA.; Vivaldi Biosciences Inc., Fort Collins, CO, 80523, USA.",Not available
39299943,An assessment of the implications of distribution remuneration and taxation policies on the final prices of prescription medicines: evidence from 35 countries.,2024-09-19,Leon G; Carbonel C; Rampuria A,"Price Governance and Negotiations, Value and Access and Commercial Development, Novartis Pharma AG, Basel, Switzerland.",Not available
39299734,Timing of oral anticoagulation in atrial fibrillation patients after acute ischaemic stroke and outcome after 3 months: results of the multicentre Berlin Atrial Fibrillation Registry.,2024-09-18,Kauert A; Voelzke E,"Evangelisches Krankenhaus Konigin Elisabeth Herzberge gGmbH, Berlin, Germany.; Schlosspark-Klinik GmbH, Berlin, Germany.",Not available
39298919,Raman laser intensity and sample clarification on biochemical monitoring over Zika-VLP upstream stages.,2024-11-12,da Silva Cavalcante PE; Publio Rabello J; Leme J; Aragao Tejo Dias V; Correia Barrence FA; de Oliveira Guardalini LG; Consoni Bernardino T; Almeida S; Tonso A; Attie Calil Jorge S,"Grupo de Espectroscopia. Astro34. Rua Belem, 106 - Jardim Vista Alegre, Embu das Artes - SP, CEP: 06807-340, Sao Paulo, SP-Brazil.; Laboratorio de Biotecnologia Viral, Instituto Butantan, Av Vital Brasil 1500, CEP 05503-900, Sao Paulo, SP, Brazil.; Laboratorio de Celulas Animais, Departamento de Engenharia Quimica, Escola Politecnica, Universidade de Sao Paulo, Av. Prof. Luciano Gualberto, Travessa do Politecnico, 380, 05508-010, Sao Paulo, SP, Brazil.; Laboratorio de Engenharia de Bioprocessos. Escola de Artes, Ciencias e Humanidades (EACH), Universidade de Sao Paulo, Rua Arlindo Bettio, 1000, CEP 03828-000, Sao Paulo, SP, Brazil.",Not available
39298738,Randomized Phase III SIERRA Trial of (131)I-Apamistamab Before Allogeneic Hematopoietic Cell Transplantation Versus Conventional Care for Relapsed/Refractory AML.,2025-01-10,Reddy V; McNamara K; Spross J; Haeuber E; Vusirikala M; Nahar A; Desai A; Giralt S,"Actinium Pharmaceuticals, New York, NY.; Loxo Oncology at Lilly, Stamford, CT.; Statistical Consultant to Actinium Pharmaceuticals, New York, NY.",Not available
39297248,Mathematical model of the relationship between pH holding time and erosive esophagitis healing rates.,2025-01-01,Lahu G; Facius A,"thinkQ2 AG, Baar, Switzerland.",Not available
39297137,The Imperative to Enhance Cost-Effectiveness for Cardiovascular Therapeutic Development.,2024-01-01,Hsieh A; Dicklin MR,"NewAmsterdam Pharma, Naarden, the Netherlands.",Not available
39297052,"Efficacy and safety of rozanolixizumab in patients with muscle-specific tyrosine kinase autoantibody-positive generalised myasthenia gravis: a subgroup analysis of the randomised, double-blind, placebo-controlled, adaptive phase III MycarinG study.",2024-01-01,Boehnlein M; Greve B; Woltering F,"UCB Pharma, Monheim am Rhein, Germany.",Not available
39296887,Tourette syndrome research highlights from 2023.,2024-01-01,Hartmann A; Czernecki V; Delorme C,"Hopital de la Pitie-Salpetriere, Assistance Publique - Hopitaux de Paris, Paris, Ile-de-France, 75013, France.",Not available
39296620,"Disease Etiology Impact on Outcomes of Hepatocellular Carcinoma Patients Treated with Atezolizumab plus Bevacizumab: A Real-World, Multicenter Study.",2024-01-01,Cascinu S,"SC Oncologia-Ematologia PO San Martino Oristano, Oristano, Italy.",Not available
39296339,"Limited Impact of Cannabidiol on Health-related Quality of Life of People With Long-term Controlled HIV: A Double-blind, Randomized, Controlled Trial.",2024-01-01,de Dieuleveult B; Prazuck T,"IPIC, Laboratoire Interdisciplinaire pour l'Innovation et la Recherche en Sante d'Orleans (LI(2)RSO), Universite d'Orleans, Orleans, France.; Little Green Pharma, West Perth, Western Australia, Australia.",Not available
39295945,"Endogenous bufadienolides, mineralocorticoid receptor antagonists and fibrosis in chronic kidney disease.",2024-01-01,Bagrov AY,"Padakonn Pharma, Narva, Estonia.",Not available
39295888,Lichenoid drug reaction to technicium-99: a case report and review of the literature.,2024-01-01,Cachia A,"Kossard Dermatopathologists, Sydney, Australia.",Not available
39295563,Industry Perspective on First-in-Human and Clinical Pharmacology Strategies to Support Clinical Development of T-Cell Engaging Bispecific Antibodies for Cancer Therapy.,2025-01-01,Hua F; Burke J,"Certara Predictive Technology, Certara, Concord, Massachusetts, USA.",Not available
39295215,Buffer system improves the removal of host cell protein impurities in monoclonal antibody purification.,2024-01-01,Lakatos D; Idler M; Stibitzky S; Amann J; Schuschkewitz J; Krayl D; Liebau J; Grosch JH; Arango Gutierrez E; Kluters S,"Bioprocess Development Biologicals, Boehringer Ingelheim Pharma GmbH & Co. KG, Biberach an der Riss, Germany.; Development Operations, Boehringer Ingelheim Pharma GmbH & Co. KG, Biberach an der Riss, Germany.",Not available
39294891,The role of cardiac acoustic biomarkers in monitoring patients with heart failure: A systematic literature review.,2024-09-18,Prokocimer P; Humphries AC; Elnawasany O; Muresan B,"Astellas Pharma Global Development Inc., Northbrook, Illinois, USA.; Astellas Pharma, Addlestone, UK.; Formerly employed with Astellas Pharma DMCC, Dubai, UAE.",Not available
39294551,Physics-informed neural networks for biopharmaceutical cultivation processes: Consideration of varying process parameter settings.,2025-01-01,Adebar N; Arnold S; Herrera LM; Emenike VN; Wucherpfennig T,"Boehringer Ingelheim Pharma GmbH & Co. KG, Bioprocess Development Biologicals, Biberach (Riss), Germany.; Boehringer Ingelheim Pharma GmbH & Co. KG, Development NCE, Ingelheim (Rhein), Germany.; Boehringer Ingelheim Pharma GmbH & Co. KG, Global Innovation & Alliance Management, Biberach (Riss), Germany.; Boehringer Ingelheim Pharma GmbH & Co. KG, HP BioP Launch and Innovation, Ingelheim (Rhein), Germany.",Not available
